	airport	animal	beach	bear	birds	boats	book	bridge	buildings	cars	castle	cat	cityscape	clouds	computer	coral	cow	dancing	dog	earthq	elk	fire	fish	flags	flowers	food	fox	frost	garden	glacier	grass	harbor	horses	house	lake	leaf	map	military	moon	mountain	nighttime	ocean	person	plane	plants	police	protest	railroad	rainbow	reflection	road	rocks	running	sand	sign	sky	snow	soccer	sports	statue	street	sun	sunset	surf	swimmers	tattoo	temple	tiger	tower	town	toy	train	tree	valley	vehicle	water	waterfall	wedding	whales	window	zebra
airport	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.88	1.00	1.00	1.00	1.00	0.56	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.96	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.78	1.00	1.00	0.97	0.96	1.00	1.00	0.61	0.96	0.95	0.92	0.94	0.88	0.32	0.95	0.93	1.00	1.00	0.92	0.97	0.68	0.97	1.00	0.95	1.00	0.54	0.92	1.00	1.00	1.00	1.00	0.94	0.88	1.00	1.00	1.00	1.00	1.00	0.93	1.00	1.00	1.00	1.00	0.94	0.60	0.90	1.00	1.00	1.00	0.74	0.90	
animal	1.00	1.00	0.81	0.44	0.36	0.94	0.96	0.97	0.93	0.95	0.93	0.40	0.98	0.75	0.89	0.53	0.44	0.95	0.40	0.92	0.43	0.94	0.45	0.93	0.79	0.94	0.49	0.78	0.87	0.92	0.56	0.96	0.44	0.92	0.84	0.72	1.00	0.96	0.89	0.86	0.93	0.76	0.82	0.97	0.82	0.91	0.97	0.98	0.92	0.85	0.85	0.85	0.63	0.74	0.95	0.71	0.75	1.00	0.90	0.91	0.94	0.87	0.85	0.92	0.91	0.96	0.96	0.44	1.00	0.95	0.89	1.00	0.89	0.87	0.95	0.68	0.96	0.91	0.48	0.90	0.47	
beach	1.00	0.81	1.00	0.96	0.88	0.75	1.00	0.87	0.87	0.97	0.93	0.97	0.94	0.48	1.00	0.87	0.94	0.94	0.85	1.00	1.00	0.93	0.94	1.00	0.96	1.00	0.97	1.00	0.96	0.95	0.87	0.90	0.94	0.90	0.53	0.94	1.00	0.95	0.91	0.83	0.90	0.40	0.75	0.94	0.89	1.00	1.00	1.00	0.89	0.74	0.90	0.64	0.85	0.61	0.95	0.45	0.89	1.00	0.89	0.94	1.00	0.72	0.64	0.88	0.84	0.93	0.95	1.00	0.92	0.95	0.96	1.00	0.89	0.84	0.90	0.41	0.96	0.87	1.00	0.95	1.00	
bear	1.00	0.44	0.96	1.00	1.00	1.00	0.95	1.00	1.00	1.00	1.00	0.96	1.00	0.92	1.00	0.97	1.00	1.00	0.95	1.00	0.93	1.00	0.95	1.00	0.96	0.95	0.94	0.93	1.00	0.95	0.76	1.00	1.00	1.00	0.95	0.88	1.00	1.00	1.00	0.97	1.00	0.93	0.92	0.97	0.93	1.00	1.00	1.00	1.00	0.96	0.93	0.94	1.00	0.95	1.00	0.91	0.87	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.86	1.00	1.00	1.00	0.97	0.77	1.00	0.96	1.00	1.00	1.00	
birds	1.00	0.36	0.88	1.00	1.00	0.98	1.00	0.96	0.95	1.00	0.95	0.97	1.00	0.75	1.00	0.96	1.00	0.97	0.98	1.00	1.00	0.97	0.91	1.00	0.91	0.98	0.94	0.92	0.93	1.00	0.82	1.00	1.00	0.98	0.86	0.87	1.00	1.00	0.92	0.97	0.97	0.85	0.94	0.98	0.91	1.00	1.00	1.00	1.00	0.88	0.93	0.92	0.96	0.94	1.00	0.71	0.91	1.00	0.97	0.96	1.00	0.93	0.90	1.00	1.00	1.00	1.00	1.00	1.00	0.98	0.95	1.00	0.97	0.96	0.98	0.75	1.00	0.97	1.00	0.96	1.00	
boats	1.00	0.94	0.75	1.00	0.98	1.00	1.00	0.82	0.72	1.00	1.00	1.00	0.81	0.54	1.00	0.94	1.00	1.00	0.97	1.00	1.00	1.00	0.96	0.92	0.98	1.00	0.96	0.97	0.94	0.96	0.90	0.47	1.00	0.83	0.55	0.95	1.00	0.88	0.95	0.86	0.83	0.57	0.86	0.96	0.92	0.93	1.00	0.97	0.94	0.59	0.94	0.87	1.00	0.89	0.97	0.49	0.91	1.00	0.94	1.00	0.94	0.80	0.72	0.92	1.00	1.00	0.96	1.00	0.90	0.80	0.94	0.95	0.93	0.87	0.65	0.42	1.00	0.94	0.93	0.78	1.00	
book	1.00	0.96	1.00	0.95	1.00	1.00	1.00	1.00	0.96	1.00	1.00	1.00	0.95	0.96	0.89	1.00	1.00	1.00	0.95	1.00	1.00	1.00	1.00	1.00	0.96	1.00	1.00	1.00	1.00	1.00	0.96	1.00	1.00	1.00	1.00	1.00	1.00	0.95	1.00	1.00	1.00	1.00	0.88	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.93	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.95	1.00	0.88	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.92	1.00	
bridge	1.00	0.97	0.87	1.00	0.96	0.82	1.00	1.00	0.71	0.93	0.89	1.00	0.74	0.59	1.00	0.97	1.00	1.00	1.00	1.00	1.00	0.93	1.00	0.95	0.94	1.00	1.00	0.92	0.84	1.00	0.82	0.86	1.00	0.90	0.71	0.96	1.00	0.95	0.89	0.89	0.71	0.78	0.90	0.96	0.88	0.96	0.96	0.76	1.00	0.70	0.78	0.86	0.96	0.95	0.97	0.55	0.90	1.00	1.00	0.97	0.93	0.84	0.79	1.00	1.00	1.00	1.00	1.00	0.83	0.85	0.96	0.84	0.91	0.91	0.89	0.58	0.93	0.95	1.00	0.88	1.00	
buildings	0.88	0.93	0.87	1.00	0.95	0.72	0.96	0.71	1.00	0.81	0.57	0.95	0.41	0.50	0.95	0.95	0.96	0.95	0.94	0.84	0.96	0.86	1.00	0.81	0.92	1.00	0.93	0.89	0.74	0.97	0.74	0.69	0.92	0.52	0.74	0.95	1.00	0.89	0.81	0.84	0.54	0.84	0.79	0.90	0.83	0.81	0.82	0.85	0.81	0.66	0.68	0.86	0.93	0.91	0.81	0.43	0.80	0.94	0.95	0.83	0.58	0.87	0.78	1.00	0.97	0.96	0.65	1.00	0.56	0.47	0.92	0.87	0.85	0.85	0.76	0.66	1.00	0.91	1.00	0.48	0.96	
cars	1.00	0.95	0.97	1.00	1.00	1.00	1.00	0.93	0.81	1.00	1.00	1.00	0.94	0.75	1.00	1.00	1.00	1.00	0.93	1.00	0.96	0.94	1.00	0.95	1.00	1.00	1.00	0.95	0.96	1.00	0.83	1.00	0.97	0.91	0.96	1.00	1.00	0.93	1.00	0.94	0.87	0.95	0.79	0.97	0.91	0.81	1.00	0.76	1.00	0.97	0.61	0.98	1.00	0.91	0.94	0.70	0.88	1.00	0.89	1.00	0.78	0.95	0.92	1.00	1.00	0.95	0.97	1.00	0.94	0.85	0.89	0.70	0.96	0.95	0.51	0.91	1.00	0.94	1.00	0.58	1.00	
