	airport	animal	beach	bear	birds	boats	book	bridge	buildings	cars	castle	cat	cityscape	clouds	computer	coral	cow	dancing	dog	earthq	elk	fire	fish	flags	flowers	food	fox	frost	garden	glacier	grass	harbor	horses	house	lake	leaf	map	military	moon	mountain	nighttime	ocean	person	plane	plants	police	protest	railroad	rainbow	reflection	road	rocks	running	sand	sign	sky	snow	soccer	sports	statue	street	sun	sunset	surf	swimmers	tattoo	temple	tiger	tower	town	toy	train	tree	valley	vehicle	water	waterfall	wedding	whales	window	zebra
airport	0	0	0	0	0	0	0	0	20	0	0	0	0	324	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	71	0	0	1	2	0	0	144	1	3	6	5	23	395	3	3	0	0	2	1	125	1	0	2	0	368	7	0	0	0	0	4	18	0	0	0	0	0	4	0	0	0	0	3	182	15	0	0	0	93	3	
animal	0	0	245	676	2034	19	1	4	78	7	5	1300	2	1589	13	580	449	4	1340	1	500	6	821	3	392	15	314	99	70	6	3245	2	877	37	329	227	0	8	22	119	28	645	794	4	431	20	1	1	5	194	225	173	118	222	6	2453	400	0	28	13	14	78	194	3	7	1	5	406	0	9	53	0	80	81	21	2117	2	18	213	118	180	
beach	0	245	0	2	39	177	0	34	86	1	4	2	7	1967	0	28	4	4	45	0	0	6	5	0	8	0	1	0	3	2	96	8	6	27	1067	6	0	7	9	92	25	1586	450	7	59	0	0	0	8	264	41	439	14	276	4	2328	38	0	21	4	0	207	519	5	17	3	4	0	15	6	3	0	41	72	32	2271	1	25	0	14	0	
bear	0	676	2	0	0	0	1	0	0	0	0	2	0	13	0	1	0	0	3	0	3	0	2	0	2	3	2	4	0	1	115	0	0	0	4	14	0	0	0	1	0	9	16	1	10	0	0	0	0	3	9	6	0	2	0	21	24	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	1	116	0	1	0	0	0	
birds	0	2034	39	0	0	1	0	3	9	0	2	2	0	339	0	2	0	1	1	0	0	1	12	0	26	1	3	8	9	0	142	0	0	1	80	27	0	0	7	3	2	78	22	1	30	0	0	0	0	49	16	20	1	6	0	483	21	0	1	2	0	11	35	0	0	0	0	0	0	1	5	0	3	3	1	318	0	1	0	6	0	
boats	0	19	177	0	1	0	0	59	352	0	0	0	63	1292	0	5	0	0	2	0	0	0	2	3	2	0	1	1	8	1	47	196	0	71	837	4	0	33	3	54	72	702	110	3	25	7	0	1	2	558	14	53	0	21	1	1706	25	0	5	0	6	92	269	2	0	0	2	0	21	76	7	3	13	42	375	1858	0	4	3	198	0	
book	0	1	0	1	0	0	0	0	1	0	0	0	1	1	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	4	0	
bridge	0	4	34	0	3	59	0	0	249	5	7	0	89	639	0	1	0	0	0	0	0	5	0	1	9	0	0	6	42	0	98	12	0	16	238	2	0	4	11	22	144	128	39	2	41	2	1	49	0	215	117	39	1	3	1	798	22	0	0	1	7	43	103	0	0	0	0	0	44	30	2	22	15	13	25	617	3	3	0	44	0	
buildings	20	78	86	0	9	352	1	249	0	86	172	7	1007	4365	2	6	2	3	12	4	2	34	0	23	47	0	6	22	247	1	795	91	14	1011	632	6	0	48	56	132	939	218	708	30	264	73	44	35	28	769	796	112	4	22	77	6269	207	1	7	46	558	71	333	0	1	1	285	0	632	873	20	24	121	97	338	1682	0	16	0	2668	1	
cars	0	7	1	0	0	0	0	5	86	0	0	0	4	170	0	0	0	0	6	0	1	3	0	1	0	0	0	2	2	0	71	0	1	11	4	0	0	7	0	6	24	5	123	1	17	33	0	44	0	2	298	1	0	8	3	264	25	0	12	0	59	3	13	0	0	1	1	0	5	27	16	63	3	4	405	19	0	3	0	392	0	
castle	0	5	4	0	2	0	0	7	172	0	0	0	4	165	0	0	0	0	0	0	0	0	0	0	2	0	0	0	22	0	60	0	2	11	16	0	0	4	1	4	3	7	7	2	18	1	1	0	0	25	5	19	0	4	0	234	3	0	1	1	1	1	6	0	0	0	17	0	29	8	0	1	8	3	3	42	0	1	0	68	0	
cat	0	1300	2	2	2	0	0	0	7	0	0	0	0	22	7	0	0	1	19	0	0	0	1	0	9	1	5	2	4	0	118	0	4	1	2	12	0	2	0	0	3	6	35	1	11	0	0	0	0	3	11	0	2	1	0	45	8	0	0	1	3	0	0	0	0	0	2	22	0	4	7	0	1	0	1	24	0	0	0	35	2	
cityscape	0	2	7	0	0	63	1	89	1007	4	4	0	0	689	0	2	0	0	0	0	0	6	0	0	0	0	1	0	8	0	25	29	0	5	128	0	0	3	21	10	406	31	30	2	9	1	0	5	3	199	121	4	0	1	0	846	12	0	0	5	54	10	88	0	0	0	9	0	168	99	0	3	7	5	21	356	0	2	0	66	0	
clouds	324	1589	1967	13	339	1292	1	639	4365	170	165	22	689	0	3	55	143	20	68	9	35	191	15	48	330	7	11	156	342	148	4385	194	156	1110	5099	38	0	695	255	1945	706	4173	1917	890	2009	50	19	189	176	2414	1526	1774	15	581	145	27110	1200	5	126	115	205	1631	3950	15	32	4	347	2	906	413	79	176	1207	1521	1046	9387	15	113	29	1745	4	
computer	0	13	0	0	0	0	3	0	2	0	0	7	0	3	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	74	1	1	0	0	0	0	0	3	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	16	0	
coral	0	580	28	1	2	5	0	1	6	0	0	0	2	55	0	0	0	0	1	0	1	0	483	0	33	1	0	2	3	0	13	0	0	1	57	5	0	0	0	1	5	272	29	0	15	0	0	0	0	8	5	18	1	5	0	82	0	0	1	1	0	3	12	4	20	0	0	0	1	0	0	0	2	5	0	554	0	0	19	2	0	
cow	0	449	4	0	0	0	0	0	2	0	0	0	0	143	0	0	0	0	6	0	11	1	0	0	5	0	0	1	3	0	253	0	11	3	9	4	0	0	0	13	1	4	14	0	16	1	0	0	0	12	4	4	1	8	0	184	8	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	10	15	0	23	0	0	0	0	0	
dancing	0	4	4	0	1	0	0	0	3	0	0	1	0	20	0	0	0	0	1	0	0	10	0	0	0	0	0	0	1	0	26	0	0	0	4	1	0	0	1	1	2	7	393	0	2	1	0	0	0	0	5	2	1	3	0	39	1	0	30	1	2	6	8	0	0	1	0	0	0	0	1	0	0	2	1	14	0	11	0	5	0	
dog	0	1340	45	3	1	2	1	0	12	6	0	19	0	68	2	1	6	1	0	0	1	1	1	2	12	0	11	4	10	0	242	0	1	5	26	8	0	0	1	6	1	21	112	0	15	1	0	1	0	13	23	3	43	7	0	124	43	0	0	0	6	2	4	0	0	0	1	1	0	0	21	0	2	0	7	99	0	5	0	24	0	
earthq	0	1	0	0	0	0	0	0	4	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	15	0	0	1	0	0	0	0	0	2	0	1	0	16	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	
elk	0	500	0	3	0	0	0	0	2	1	0	0	0	35	0	1	11	0	1	0	0	2	0	0	0	0	2	16	1	0	239	0	1	0	9	7	0	0	1	7	0	0	6	0	36	1	0	0	0	5	4	4	3	2	1	57	49	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	4	1	26	0	0	0	0	0	
fire	1	6	6	0	1	0	0	5	34	3	0	0	6	191	0	0	1	10	1	0	2	0	0	0	1	2	0	0	1	0	16	0	1	6	24	0	0	21	5	8	65	15	123	19	12	9	0	2	2	16	29	4	0	2	0	241	1	0	2	0	6	21	40	0	0	0	1	0	8	4	5	0	6	4	8	60	0	4	0	21	0	
fish	0	821	5	2	12	2	0	0	0	0	0	1	0	15	0	483	0	0	1	0	0	0	0	0	9	3	0	1	7	0	13	0	0	0	16	1	0	0	0	0	2	211	31	0	4	0	0	0	0	4	5	7	0	2	0	36	2	0	1	1	0	1	1	0	5	0	0	0	0	0	1	0	1	0	0	561	0	0	33	3	0	
flags	0	3	0	0	0	3	0	1	23	1	0	0	0	48	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	11	1	0	0	1	0	0	3	0	2	1	5	41	0	0	0	14	0	0	0	6	1	0	1	2	81	3	0	1	0	4	1	4	0	0	0	0	0	2	2	1	0	0	1	3	8	0	0	0	17	0	
flowers	0	392	8	2	26	2	1	9	47	0	2	9	0	330	2	33	5	0	12	0	0	1	9	0	0	9	8	18	317	1	480	0	4	31	26	267	0	0	3	25	8	16	63	0	2529	0	0	1	1	48	29	19	1	0	0	530	10	0	1	2	2	21	18	0	0	0	2	0	4	11	7	1	59	23	5	215	1	20	0	66	0	
food	0	15	0	3	1	0	0	0	0	0	0	1	0	7	0	1	0	0	0	0	0	2	3	0	9	0	0	3	1	0	9	0	0	0	0	15	0	0	0	0	0	1	46	0	75	0	0	0	0	1	1	3	0	0	0	13	1	0	0	1	0	1	0	0	0	0	0	0	0	0	28	0	0	0	0	32	0	6	0	1	0	
